# x	y	u	v	flags	mask
1.1000e+05	7.4507e+04	1.1242e+00	2.6858e+01	0.0000e+00	0.0000e+00
1.1099e+05	7.4507e+04	-2.8389e+01	4.5239e+01	0.0000e+00	0.0000e+00
1.1197e+05	7.4507e+04	8.3763e+01	-1.7492e+01	0.0000e+00	0.0000e+00
1.1296e+05	7.4507e+04	-1.4598e+02	2.4909e+01	0.0000e+00	0.0000e+00
1.1394e+05	7.4507e+04	2.2446e+02	1.9889e+01	0.0000e+00	0.0000e+00
1.1493e+05	7.4507e+04	-1.3882e+02	1.3418e+02	0.0000e+00	0.0000e+00
1.1592e+05	7.4507e+04	-3.0061e+02	3.5829e+02	0.0000e+00	0.0000e+00
1.1690e+05	7.4507e+04	-2.2725e+02	2.7950e+02	0.0000e+00	0.0000e+00
1.1789e+05	7.4507e+04	-8.7670e+01	7.6545e+01	0.0000e+00	0.0000e+00
1.1887e+05	7.4507e+04	5.9601e+01	-0.0000e+00	0.0000e+00	0.0000e+00
1.1986e+05	7.4507e+04	-1.0503e+01	-1.2234e+01	0.0000e+00	0.0000e+00
1.2085e+05	7.4507e+04	-4.1223e+01	-1.0938e+01	0.0000e+00	0.0000e+00
1.2183e+05	7.4507e+04	-5.5997e+00	-0.0000e+00	0.0000e+00	0.0000e+00
1.2282e+05	7.4507e+04	8.1067e+01	3.1987e+01	0.0000e+00	0.0000e+00
1.2380e+05	7.4507e+04	9.2348e+01	1.4951e+01	0.0000e+00	0.0000e+00
1.2479e+05	7.4507e+04	6.9411e+01	3.1226e+01	0.0000e+00	0.0000e+00
1.2577e+05	7.4507e+04	5.0862e+01	1.6902e+02	0.0000e+00	0.0000e+00
1.2676e+05	7.4507e+04	4.0301e+01	2.1193e+02	0.0000e+00	0.0000e+00
1.2775e+05	7.4507e+04	1.1631e+02	2.2945e+02	0.0000e+00	0.0000e+00
1.2873e+05	7.4507e+04	1.0891e+02	4.5504e+01	0.0000e+00	0.0000e+00
1.2972e+05	7.4507e+04	1.0167e+02	-5.3729e+01	0.0000e+00	0.0000e+00
1.3070e+05	7.4507e+04	6.4509e+00	5.8645e+01	0.0000e+00	0.0000e+00
1.3169e+05	7.4507e+04	-1.8101e+02	8.3957e+01	0.0000e+00	0.0000e+00
1.3268e+05	7.4507e+04	-2.4236e+02	-6.9179e+01	0.0000e+00	0.0000e+00
1.3366e+05	7.4507e+04	7.7667e+01	-8.6067e+01	0.0000e+00	0.0000e+00
1.5493e+03	7.3521e+04	-5.0270e+00	-6.9753e+00	1.0000e+00	0.0000e+00
2.5352e+03	7.3521e+04	3.2297e+01	-1.2068e+01	0.0000e+00	0.0000e+00
3.5211e+03	7.3521e+04	0.0000e+00	7.9307e+00	0.0000e+00	0.0000e+00
4.5070e+03	7.3521e+04	-1.4695e+02	1.1922e+01	0.0000e+00	0.0000e+00
5.4930e+03	7.3521e+04	-3.7201e+01	-4.6917e+00	1.0000e+00	0.0000e+00
6.4789e+03	7.3521e+04	-1.5522e+01	-9.9218e+00	0.0000e+00	0.0000e+00
7.4648e+03	7.3521e+04	-7.6397e+01	1.0083e+01	1.0000e+00	0.0000e+00
8.4507e+03	7.3521e+04	-5.4412e+01	1.1675e+01	1.0000e+00	0.0000e+00
9.4366e+03	7.3521e+04	-7.0685e+01	4.4100e+02	0.0000e+00	0.0000e+00
1.0423e+04	7.3521e+04	-7.9412e+00	1.6749e+01	0.0000e+00	0.0000e+00
1.1408e+04	7.3521e+04	-1.4573e+01	4.1059e+00	0.0000e+00	0.0000e+00
1.2394e+04	7.3521e+04	-4.5975e+02	1.6280e+02	0.0000e+00	0.0000e+00
1.3380e+04	7.3521e+04	-5.7027e+01	1.5089e+02	0.0000e+00	0.0000e+00
1.4366e+04	7.3521e+04	-8.6253e+00	1.4067e+01	0.0000e+00	0.0000e+00
